source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
cancer cell line batch 190518	Homo sapiens	not available	neoplasm	not available	cell line	32	run 32	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190518.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190525	Homo sapiens	not available	neoplasm	not available	cell line	33	run 33	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190525.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190526	Homo sapiens	not available	neoplasm	not available	cell line	34	run 34	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190526.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190529	Homo sapiens	not available	neoplasm	not available	cell line	35	run 35	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190529.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190602	Homo sapiens	not available	neoplasm	not available	cell line	36	run 36	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190602.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190603	Homo sapiens	not available	neoplasm	not available	cell line	37	run 37	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190603.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190609	Homo sapiens	not available	neoplasm	not available	cell line	38	run 38	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190609.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190614	Homo sapiens	not available	neoplasm	not available	cell line	39	run 39	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190614.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190618	Homo sapiens	not available	neoplasm	not available	cell line	40	run 40	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190618.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190702	Homo sapiens	not available	neoplasm	not available	cell line	41	run 41	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190702.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
